date,chain,tracking_code,volume,volume_7dma,volume_30dma,fees,OI,dauu,tuu,version
2023-12-12,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-13,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-13,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-13,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-13,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-13,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-13,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-13,base,KWENTA,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-13,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-13,base,SYNTHETIX_SDK,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-13,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-14,base,KWENTA,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-14,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-14,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-14,base,SYNTHETIX_SDK,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-14,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-14,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-14,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-14,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-14,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-14,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-15,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-15,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-15,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-15,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-15,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-15,base,SYNTHETIX_SDK,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-15,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-15,base,KWENTA,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-15,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-15,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-16,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-16,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-16,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-16,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-16,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-16,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-16,base,KWENTA,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-16,base,SYNTHETIX_SDK,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-16,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-16,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-17,base,SYNTHETIX_SDK,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-17,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-17,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-17,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-17,base,KWENTA,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-17,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-17,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-17,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-17,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-17,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-18,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-18,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-18,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-18,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-18,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-18,base,KWENTA,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-18,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-18,base,SYNTHETIX_SDK,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-18,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-18,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-19,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-19,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-19,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-19,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-19,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-19,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-19,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-19,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-19,base,SYNTHETIX_SDK,52.17,1.98,0.77,13.85,0.0,1,1,
2023-12-19,base,KWENTA,43443.04,9.35,3.64,65.45,0.0,2,2,
2023-12-20,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-20,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-20,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-20,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-20,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-20,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-20,base,KWENTA,169835.86,28.44,10.48,133.6,0.0,1,3,
2023-12-20,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-20,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-20,base,SYNTHETIX_SDK,0.0,1.98,0.73,0.0,0.0,0,1,
2023-12-21,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-21,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-21,base,T,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-21,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-21,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-21,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-21,base,KWENTA,9631.35,29.16,10.21,5.06,9668.33,1,3,
2023-12-21,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-21,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-21,base,SYNTHETIX_SDK,0.0,1.98,0.69,0.0,0.0,0,1,
2023-12-22,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-22,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-22,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-22,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-22,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-22,base,KWENTA,0.0,29.16,9.72,0.0,0.0,0,3,
2023-12-22,base,SYNTHETIX_SDK,0.0,1.98,0.66,0.0,0.0,0,1,
2023-12-22,base,T,68.8,1.15,0.38,8.03,0.0,1,1,
2023-12-22,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-22,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-23,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-23,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-23,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-23,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-23,base,T,0.0,1.15,0.37,0.0,23.06,0,1,
2023-12-23,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-23,base,SYNTHETIX_SDK,0.0,1.98,0.63,0.0,0.0,0,1,
2023-12-23,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-23,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-23,base,KWENTA,0.0,29.16,9.28,0.0,0.0,0,3,
2023-12-24,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-24,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-24,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-24,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-24,base,T,0.0,1.15,0.35,0.0,23.06,0,1,
2023-12-24,base,SYNTHETIX_SDK,0.0,1.98,0.6,0.0,0.0,0,1,
2023-12-24,base,KWENTA,0.0,29.16,8.87,0.0,0.0,0,3,
2023-12-24,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-24,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-24,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-25,base,KWENTA,0.0,29.16,8.5,0.0,0.0,0,3,
2023-12-25,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-25,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-25,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-25,base,SYNTHETIX_SDK,0.0,1.98,0.58,0.0,0.0,0,1,
2023-12-25,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-25,base,T,0.0,1.15,0.33,0.0,23.06,0,1,
2023-12-25,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-25,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-25,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-26,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-26,base,T,0.0,1.15,0.32,0.0,23.06,0,1,
2023-12-26,base,x,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-26,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-26,base,w,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-26,base,SYNTHETIX_SDK,0.0,0.0,0.55,0.0,0.0,0,1,
2023-12-26,base,FundingBot,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-26,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-26,base,KWENTA,49.86,20.1,8.25,2.04,0.0,1,4,
2023-12-26,base,DHEDGE,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-27,base,CyberDEX,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-27,base,polynomial,0.0,0.0,0.0,0.0,0.0,0,0,
2023-12-27,base,TRACKING,0.0,0.0,0.0,0.0,0.0,0,0,
